日期,收盘,最高,最低
2024-01-02,24.86,25.14,24.7
2024-01-03,24.97,25.23,24.82
2024-01-04,24.95,25.07,24.67
2024-01-05,24.55,24.99,24.47
2024-01-08,24.21,24.58,24.18
2024-01-09,24.12,24.44,24.01
2024-01-10,24.19,24.42,23.95
2024-01-11,24.42,24.51,24.15
2024-01-12,24.06,24.49,24.06
2024-01-15,23.72,24.11,23.7
2024-01-16,23.71,23.81,23.23
2024-01-17,22.9,23.65,22.89
2024-01-18,22.9,22.96,22.13
2024-01-19,22.97,23.1,22.67
2024-01-22,22.24,22.89,22.01
2024-01-23,22.46,22.6,22.04
2024-01-24,22.72,22.77,22.01
2024-01-25,23.37,23.4,22.56
2024-01-26,23.17,23.55,23.08
2024-01-29,22.99,23.39,22.9
2024-01-30,22.51,23.0,22.5
2024-01-31,21.82,22.72,21.81
2024-02-01,22.27,22.38,21.7
2024-02-02,21.51,22.52,20.84
2024-02-05,21.19,21.66,20.38
2024-02-06,23.15,23.19,21.08
2024-02-07,23.85,23.9,23.1
2024-02-08,23.95,24.34,23.65
2024-02-19,23.98,24.16,23.75
2024-02-20,23.99,24.23,23.7
2024-02-21,24.02,24.31,23.72
2024-02-22,24.04,24.15,23.85
2024-02-23,24.07,24.15,23.91
2024-02-26,24.3,24.44,23.98
2024-02-27,24.57,24.57,24.13
2024-02-28,24.17,25.3,24.17
2024-02-29,24.58,24.59,24.01
2024-03-01,24.77,24.84,24.44
2024-03-04,25.64,25.89,24.8
2024-03-05,25.16,25.54,25.01
2024-03-06,24.89,25.3,24.76
2024-03-07,24.28,24.92,24.28
2024-03-08,24.28,24.55,24.15
2024-03-11,24.76,24.78,24.23
2024-03-12,25.03,25.1,24.67
2024-03-13,24.73,25.1,24.6
2024-03-14,24.92,25.79,24.8
2024-03-15,24.75,25.08,24.6
2024-03-18,25.1,25.14,24.77
2024-03-19,24.8,25.1,24.79
2024-03-20,24.82,24.96,24.66
2024-03-21,24.67,24.93,24.6
2024-03-22,24.1,24.64,24.01
2024-03-25,23.6,24.27,23.6
2024-03-26,23.54,23.68,23.31
2024-03-27,22.8,23.23,22.78
2024-03-28,23.13,23.25,22.68
2024-03-29,23.07,23.25,22.97
2024-04-01,23.45,23.45,23.0
